comparison,metric,canonical_person_id,improvement
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub075,11.8926020764
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub086,6.73282056205
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub098,5.56356276865
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub106,8.42158238559
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub115,6.32125713406
direct_vs_input,waveform_error,KIT::348,4.51133599484
direct_vs_input,waveform_error,KIT::6,3.26590628778
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub002,0.0452769868386
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub023,0.0439151916218
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub044,0.0428793308986
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub053,0.0426154887384
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub054,0.0445384412994
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub070,0.0411493261153
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub072,0.0405800515848
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub075,0.0453790767624
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub086,0.0448392079533
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub098,0.0434367690041
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub106,0.0427063205471
direct_vs_input,visible_nle,BioMotionLab_NTroje::rub115,0.0455377129219
direct_vs_input,visible_nle,KIT::348,0.0394145050199
direct_vs_input,visible_nle,KIT::6,0.0379860580351
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub002,0.0429273549415
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub023,0.0420733682615
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub044,0.0410170944783
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub053,0.0417536573225
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub054,0.0440550103162
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub070,0.0422395356661
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub072,0.0412727426312
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub075,0.0467463340179
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub086,0.0441416599341
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub098,0.0411369909522
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub106,0.0430430985629
direct_vs_input,synthetic_all_nle,BioMotionLab_NTroje::rub115,0.0423621490887
direct_vs_input,synthetic_all_nle,KIT::348,0.0366994139053
direct_vs_input,synthetic_all_nle,KIT::6,0.0382723312159
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub002,0.0135635911325
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub023,0.015654894561
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub044,0.00983244266208
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub053,0.010451706333
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub054,0.0186211471335
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub070,0.0149698979428
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub072,0.00881123205565
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub075,0.0182168028414
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub086,0.0173001668789
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub098,0.012169836745
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub106,0.0137810809031
direct_vs_input,displacement_nle,BioMotionLab_NTroje::rub115,0.0119682173343
direct_vs_input,displacement_nle,KIT::348,0.00585190227552
direct_vs_input,displacement_nle,KIT::6,0.00571823106733
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub002,0.295173805254
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub023,0.28354267758
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub044,0.278853335423
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub053,0.300213249833
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub054,0.279704884002
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub070,0.281617802133
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub072,0.303412491932
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub075,0.290429938352
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub086,0.268836444856
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub098,0.305827445691
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub106,0.265006738635
direct_vs_input,assignment_failure_rate,BioMotionLab_NTroje::rub115,0.285077317138
direct_vs_input,assignment_failure_rate,KIT::348,0.335555790329
direct_vs_input,assignment_failure_rate,KIT::6,0.279848145671
direct_vs_input,response_error,BioMotionLab_NTroje::rub002,-0.089833402062
direct_vs_input,response_error,BioMotionLab_NTroje::rub023,3.14956616221
direct_vs_input,response_error,BioMotionLab_NTroje::rub044,6.33700140107
